"NOMBRES MÁS POPULARES DE MUJER, 2021",,,,,,"NOMBRES MÁS POPULARES DE HOMBRE, 2021",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
1,SOFIA,MUJER,"6,552",,,1,SANTIAGO,HOMBRE,"9,963"
2,MARIA JOSE,MUJER,"6,019",,,2,MATEO,HOMBRE,"8,209"
3,VALENTINA,MUJER,"5,671",,,3,SEBASTIAN,HOMBRE,"6,381"
4,REGINA,MUJER,"5,556",,,4,LEONARDO,HOMBRE,"5,784"
5,CAMILA,MUJER,"5,255",,,5,MATIAS,HOMBRE,"4,708"
6,VALERIA,MUJER,"3,890",,,6,EMILIANO,HOMBRE,"4,541"
7,XIMENA,MUJER,"3,794",,,7,DANIEL,HOMBRE,"4,133"
8,MARIA FERNANDA,MUJER,"3,779",,,8,GAEL,HOMBRE,"4,024"
9,VICTORIA,MUJER,"3,622",,,9,MIGUEL ANGEL,HOMBRE,"4,019"
10,RENATA,MUJER,"3,495",,,10,DIEGO,HOMBRE,"4,014"
11,ROMINA,MUJER,"3,447",,,11,ALEXANDER,HOMBRE,"3,644"
12,ISABELLA,MUJER,"3,199",,,12,ALEJANDRO,HOMBRE,"3,640"
13,NATALIA,MUJER,"3,036",,,13,JESUS,HOMBRE,"3,179"
14,DANIELA,MUJER,"3,012",,,14,ANGEL,HOMBRE,"2,928"
15,ANA SOFIA,MUJER,"2,790",,,15,DAVID,HOMBRE,"2,866"
16,ALEXA,MUJER,"2,528",,,16,TADEO,HOMBRE,"2,795"
17,FERNANDA,MUJER,"2,515",,,17,FERNANDO,HOMBRE,"2,676"
18,MARIA GUADALUPE,MUJER,"2,468",,,18,LUIS ANGEL,HOMBRE,"2,632"
19,SAMANTHA,MUJER,"2,322",,,19,RODRIGO,HOMBRE,"2,533"
20,ANDREA,MUJER,"2,275",,,20,JOSE ANGEL,HOMBRE,"2,442"
21,AITANA,MUJER,"2,208",,,21,MAXIMILIANO,HOMBRE,"2,411"
22,EMILY,MUJER,"2,133",,,22,JOSE LUIS,HOMBRE,"2,374"
23,MELISSA,MUJER,"2,107",,,23,GABRIEL,HOMBRE,"2,365"
24,GUADALUPE,MUJER,"2,030",,,24,EDUARDO,HOMBRE,"2,357"
25,ELIZABETH,MUJER,"2,002",,,25,EMMANUEL,HOMBRE,"2,344"
26,MARIANA,MUJER,"1,828",,,26,DYLAN,HOMBRE,"2,325"
27,YAMILETH,MUJER,"1,730",,,27,RAFAEL,HOMBRE,"2,142"
28,DANNA SOFIA,MUJER,"1,696",,,28,JUAN PABLO,HOMBRE,"2,080"
29,ANA VICTORIA,MUJER,"1,644",,,29,SAMUEL,HOMBRE,"2,066"
30,ANA PAULA,MUJER,"1,620",,,30,JUAN CARLOS,HOMBRE,"2,052"
31,ALEJANDRA,MUJER,"1,581",,,31,JOSE MANUEL,HOMBRE,"2,046"
32,FATIMA,MUJER,"1,565",,,32,NICOLAS,HOMBRE,"1,989"
33,ABIGAIL,MUJER,"1,560",,,33,ISAAC,HOMBRE,"1,972"
34,JULIETA,MUJER,"1,543",,,34,LEONEL,HOMBRE,"1,966"
35,EVELYN,MUJER,"1,540",,,35,ELIAS,HOMBRE,"1,940"
36,ESMERALDA,MUJER,"1,407",,,36,DAMIAN,HOMBRE,"1,899"
37,LUCIANA,MUJER,"1,395",,,37,LIAM,HOMBRE,"1,880"
38,LUCIA,MUJER,"1,299",,,38,AXEL,HOMBRE,"1,850"
39,ESTEFANIA,MUJER,"1,260",,,39,EMILIO,HOMBRE,"1,822"
40,MARIA,MUJER,"1,244",,,40,RICARDO,HOMBRE,"1,778"
41,JIMENA,MUJER,"1,227",,,41,ADRIAN,HOMBRE,"1,770"
42,VANESSA,MUJER,"1,215",,,42,JOSE MIGUEL,HOMBRE,"1,739"
43,IVANNA,MUJER,"1,201",,,43,JONATHAN,HOMBRE,"1,710"
44,DAYANA,MUJER,"1,197",,,44,CARLOS,HOMBRE,"1,689"
45,KIMBERLY,MUJER,"1,142",,,45,ANTONIO,HOMBRE,"1,680"
46,ANGELA,MUJER,"1,122",,,46,FRANCISCO,HOMBRE,"1,678"
47,SAMARA,MUJER,"1,113",,,47,JAVIER,HOMBRE,"1,675"
48,CAROLINA,MUJER,"1,102",,,48,ALEXIS,HOMBRE,"1,672"
49,EMMA,MUJER,"1,098",,,49,ALAN,HOMBRE,"1,657"
50,MIRANDA,MUJER,"1,096",,,50,MIGUEL,HOMBRE,"1,636"
51,DULCE MARIA,MUJER,"1,053",,,51,JOSE ANTONIO,HOMBRE,"1,576"
52,ARIANA,MUJER,"1,041",,,52,CRISTIAN,HOMBRE,"1,562"
53,SOFIA GUADALUPE,MUJER,"1,029",,,53,ANGEL GABRIEL,HOMBRE,"1,512"
54,ALONDRA,MUJER,"1,027",,,54,MAURICIO,HOMBRE,"1,505"
55,ARANZA,MUJER,"1,011",,,55,JULIAN,HOMBRE,"1,486"
56,PAULINA,MUJER,987,,,56,JUAN,HOMBRE,"1,478"
57,GENESIS,MUJER,961,,,57,AARON,HOMBRE,"1,472"
58,AYLIN,MUJER,958,,,58,LUIS FERNANDO,HOMBRE,"1,451"
59,ELISA,MUJER,949,,,59,JOSUE,HOMBRE,"1,448"
60,SARA,MUJER,941,,,60,PEDRO,HOMBRE,"1,429"
61,MIA,MUJER,934,,,61,ANDRES,HOMBRE,"1,398"
62,REBECA,MUJER,898,,,62,MANUEL,HOMBRE,"1,382"
63,EMILIA,MUJER,894,,,63,ISMAEL,HOMBRE,"1,373"
64,GABRIELA,MUJER,889,,,64,JUAN DIEGO,HOMBRE,"1,326"
65,LIA,MUJER,889,,,65,JOSE MARIA,HOMBRE,"1,298"
66,ANA LUCIA,MUJER,887,,,66,ABRAHAM,HOMBRE,"1,278"
67,ITZAYANA,MUJER,864,,,67,URIEL,HOMBRE,"1,273"
